,sentiment,review_body,review_tidy,tokens
85,0,"My mother bought this and it started having problems 8 months after she bought it, well it quit working 8 days after the 1 year mark and they REFUSE to replace it (told us she has to pay for a replacement).  They said that they don't even fix their products...Why would you sell a product that you cannot repair.  Mom is on a fixed income and cannot afford to buy another one.  I have 4 different Kindle products at this moment and now will be getting rid of ALL of them and going to the Ipads (at least they fix their products)",mother bought started problems months bought well quit working days year mark REFUSE replace told replacement They said even products would sell product cannot repair fixed income cannot afford another different Kindle products moment getting going Ipads least products,"['mother', 'buy', 'start', 'problem', 'month', 'buy', 'well', 'quit', 'working', 'day', 'year', 'mark', 'refuse', 'replace', 'tell', 'replacement', 'they', 'say', 'even', 'product', 'would', 'sell', 'product', 'can', 'not', 'repair', 'fix', 'income', 'can', 'not', 'afford', 'another', 'different', 'kindle', 'product', 'moment', 'getting', 'go', 'ipad', 'least', 'product']"
88,0,I paid 157.00 after the price with shipping and it is already giving me problems and I have not even had the item for a week...the Kindle will not stop freezing and the screen keeps going black... I am started to think I received a refurbished item because I should not be having these problems with the device this soon,paid price shipping already giving problems even item week Kindle stop freezing screen keeps going black started think received refurbished item problems device soon,"['pay', 'price', 'shipping', 'already', 'give', 'problem', 'even', 'item', 'week', 'kindle', 'stop', 'freeze', 'screen', 'keep', 'go', 'black', 'started', 'think', 'receive', 'refurbish', 'item', 'problem', 'device', 'soon']"
90,0,Very limited number of apps. Reading books it's ok but not a great tablet for all of the choices available on other devices.,Very limited number apps Reading books great tablet choices available devices,"['very', 'limited', 'number', 'app', 'read', 'book', 'great', 'tablet', 'choice', 'available', 'device']"
103,0,Apps issue,Apps issue,"['app', 'issue']"
106,0,"Like , this is my third one",Like third,"['like', 'third']"
114,0,The camera is poor.  The downloads are easy.,camera poor downloads easy,"['camera', 'poor', 'download', 'easy']"
120,0,I'm having concerns about  the volumn  It goes all the down to a faint whisper after a short time in use. I'm going to use it to watch something at length and see if this continues.  If so I will return it for a new one. If this is necessary I will need a return label sent to me as I don't have a printer. Will be in touch.,concerns volumn goes faint whisper short time going watch something length continues return necessary need return label sent printer Will touch,"['concern', 'volumn', 'go', 'faint', 'whisper', 'short', 'time', 'go', 'watch', 'something', 'length', 'continue', 'return', 'necessary', 'need', 'return', 'label', 'send', 'printer', 'will', 'touch']"
130,0,"Disappointing, Android? Not really - Google Play etc. not available, no functional Instagram. Prime free books not what I hoped, works fine as a reader with Overdrive/library once I figured out not to download for Kindle, use epub. It was inexpensive on prime day, my expectations were not met though.",Disappointing Android really Google Play available functional Instagram Prime free books hoped works fine reader Overdrive library figured download Kindle epub inexpensive prime expectations though,"['disappointing', 'android', 'really', 'google', 'play', 'available', 'functional', 'instagram', 'prime', 'free', 'book', 'hope', 'work', 'fine', 'reader', 'overdrive', 'library', 'figure', 'download', 'kindle', 'epub', 'inexpensive', 'prime', 'expectation', 'though']"
133,0,"I've had my Kindle 1 month, only use it s few times a week and it's already broken. Suddenly one day it no longer turned on. I tried the power hold button for 30s to reset and doesn't work. Charged for hours doesn't work. Wish I would have read more of the negative reviews for to see that this device isn't very reliable. Still waiting to hear back from Amazon to see if they will help fix the issue on my new device or not. Really bummed.",Kindle month times week already broken Suddenly longer turned tried power hold button reset work Charged hours work Wish would read negative reviews device reliable Still waiting hear back Amazon help issue device Really bummed,"['kindle', 'month', 'time', 'week', 'already', 'break', 'suddenly', 'long', 'turn', 'try', 'power', 'hold', 'button', 'reset', 'work', 'charge', 'hour', 'work', 'wish', 'would', 'read', 'negative', 'review', 'device', 'reliable', 'still', 'wait', 'hear', 'back', 'amazon', 'help', 'issue', 'device', 'really', 'bum']"
135,0,"Don't bother. Every time you want to watch a video or a tv episode you will find that the app you need &#34;is not compatible&#34; with this device. Damned expensive for an e-reader, which is all you will be able to do with this.",bother Every time want watch video episode find need compatible device Damned expensive reader able,"['bother', 'every', 'time', 'want', 'watch', 'video', 'episode', 'find', 'need', 'compatible', 'device', 'damn', 'expensive', 'reader', 'able']"
136,0,"I loved my original fire, which I use to supplement the iPad if my husband is using it. With Amazon's July &#34;sale&#34;, I thought why not pick up another one as the original did start gradually getting laggy. I'm afraid it doesn't hold the same quality.  Poor battery life in comparison. Volume isn't as loud, and I don't care for the placement of the buttons. (Volume, on/off, etc) for the price, it's ok, but they've gone down in quality, and I don't expect it to last. Too bad my original requires frequent &#34;reboot&#34;. Doesn't compare to the iPad at all",loved original fire supplement iPad husband using With Amazon July sale thought pick another original start gradually getting laggy afraid hold quality Poor battery life comparison Volume loud care placement buttons Volume price gone quality expect last original requires frequent reboot Doesn compare iPad,"['love', 'original', 'fire', 'supplement', 'ipad', 'husband', 'use', 'with', 'amazon', 'july', 'sale', 'thought', 'pick', 'another', 'original', 'start', 'gradually', 'get', 'laggy', 'afraid', 'hold', 'quality', 'poor', 'battery', 'life', 'comparison', 'volume', 'loud', 'care', 'placement', 'button', 'volume', 'price', 'go', 'quality', 'expect', 'last', 'original', 'require', 'frequent', 'reboot', 'doesn', 'compare', 'ipad']"
142,0,"By far, my most disappointing purchase on Amazon ever.<br />I purchased this for my child, and tried to set up the &#34;teen&#34; profile.  The teen profile is slightly, if at all, different from the toddler profile.  So, if I want my child to actually USE the device, I have to set him/her up as an adult, thereby obtaining access to ALL of my content.<br />Amazon should be ashamed of themselves for touting what could be a terrific product as &#34;kid friendly&#34; when Freetime and Parental Controls are so obviously broken.<br />Parents of children over 9 - LOOK ELSEWHERE!!!",disappointing purchase Amazon ever purchased child tried teen profile teen profile slightly different toddler profile want child actually device adult thereby obtaining access content Amazon ashamed touting could terrific product friendly Freetime Parental Controls obviously broken Parents children LOOK ELSEWHERE,"['disappointing', 'purchase', 'amazon', 'ever', 'purchase', 'child', 'try', 'teen', 'profile', 'teen', 'profile', 'slightly', 'different', 'toddler', 'profile', 'want', 'child', 'actually', 'device', 'adult', 'thereby', 'obtain', 'access', 'content', 'amazon', 'ashame', 'touting', 'could', 'terrific', 'product', 'friendly', 'freetime', 'parental', 'controls', 'obviously', 'break', 'parents', 'child', 'look', 'elsewhere']"
143,0,Didn't like the picture quality of the cams..very basic cam..returned it within few days,Didn like picture quality cams basic returned within days,"['didn', 'like', 'picture', 'quality', 'cam', 'basic', 'return', 'within', 'day']"
148,0,"the advertisements keeps making the shopping icon show up on my carousel very annoying.<br />cant seem to turn off the locator that tracks you everywhere, an app turned it on and not i cant turn it off.<br /><br />Video quality is good",advertisements keeps making shopping icon show carousel annoying cant seem turn locator tracks everywhere turned cant turn Video quality good,"['advertisement', 'keep', 'make', 'shopping', 'icon', 'show', 'carousel', 'annoying', 'can', 'not', 'seem', 'turn', 'locator', 'track', 'everywhere', 'turn', 'can', 'not', 'turn', 'video', 'quality', 'good']"
152,0,"I read somewhere that the Kindle ran on the Android OS.  So I bought it during the Prime Day sale.  They actually use a customized version of Android OS, which they call Fire, and will not get you most of the cool apps that a regular android tablet will get you.  Basically this was a waste of money for me and I am glad I paid the Prime Day price, which was the most disappointing sale ever!!",read somewhere Kindle Android bought Prime sale They actually customized version Android call Fire cool apps regular android tablet Basically waste money glad paid Prime price disappointing sale ever,"['read', 'somewhere', 'kindle', 'android', 'buy', 'prime', 'sale', 'they', 'actually', 'customize', 'version', 'android', 'call', 'fire', 'cool', 'app', 'regular', 'android', 'tablet', 'basically', 'waste', 'money', 'glad', 'pay', 'prime', 'price', 'disappointing', 'sale', 'ever']"
162,0,Unit locks up all of the time. Tech support asked that I use it for 10 days or so and see if it keeps doing it? Not satisfied at all with this product.,Unit locks time Tech support asked days keeps satisfied product,"['unit', 'lock', 'time', 'tech', 'support', 'ask', 'day', 'keep', 'satisfied', 'product']"
174,0,"It's ok, kind of slow when compared to other tablets.  The default user interface is actually easier to use than the child interface.",kind slow compared tablets default user interface actually easier child interface,"['kind', 'slow', 'compare', 'tablet', 'default', 'user', 'interface', 'actually', 'easy', 'child', 'interface']"
185,0,Slow download capacity. But the unit is pretty good. I haven't used the fire stick as I'm a prime guest not given the same perks as a prime account user. Have to pay for the movies,Slow download capacity unit pretty good used fire stick prime guest given perks prime account user Have movies,"['slow', 'download', 'capacity', 'unit', 'pretty', 'good', 'used', 'fire', 'stick', 'prime', 'guest', 'give', 'perk', 'prime', 'account', 'user', 'have', 'movie']"
186,0,Nice picture and does the simple things I wanted it to do but a little heavy for my taste.  Samsung is lighter for a larger screen but quite a bit more pricey.,Nice picture simple things wanted little heavy taste Samsung lighter larger screen quite pricey,"['nice', 'picture', 'simple', 'thing', 'want', 'little', 'heavy', 'taste', 'samsung', 'lighter', 'large', 'screen', 'quite', 'pricey']"
203,0,Charge not what I thought but it's still a good product,Charge thought still good product,"['charge', 'think', 'still', 'good', 'product']"
208,0,I have been using IPAD tablet for years and I am still staying and sticking with my IPAD in many aspects. Fire HD is cheaper and will be OK for reading but not for surfing the internet and other apps. It displays advertisement from Amazon which is annoying.,using IPAD tablet years still staying sticking IPAD many aspects Fire cheaper reading surfing internet apps displays advertisement Amazon annoying,"['use', 'ipad', 'tablet', 'year', 'still', 'stay', 'stick', 'ipad', 'many', 'aspect', 'fire', 'cheap', 'reading', 'surf', 'internet', 'app', 'display', 'advertisement', 'amazon', 'annoy']"
210,0,Its nice and cheap but the app store is awful.  Amazon apps are awful they are missing very popular and important apps. Also you can't customize your kindle and they use your home screen as an advertisement space.,nice cheap store awful Amazon apps awful missing popular important apps Also customize kindle home screen advertisement space,"['nice', 'cheap', 'store', 'awful', 'amazon', 'app', 'awful', 'miss', 'popular', 'important', 'app', 'also', 'customize', 'kindle', 'home', 'screen', 'advertisement', 'space']"
214,0,"There is lots of new features that I like over my old one, like the charger is on top along with the turn on buttom (great) its thin and lighter (great) but I am haveing problems openning my apps some says error. I will go to my old Kindle and it works great.",There lots features like like charger along turn buttom great thin lighter great haveing problems openning apps says error Kindle works great,"['there', 'lot', 'feature', 'like', 'like', 'charger', 'along', 'turn', 'buttom', 'great', 'thin', 'light', 'great', 'haveing', 'problem', 'openne', 'app', 'say', 'error', 'kindle', 'work', 'great']"
216,0,"Lasted less than 2 years and because it was out of warranty Amazon did nothing. I will never buy another Amazon product again!!!!!!! I barely used it and it locked and would not turn back on. Oh yeah, forget about talking to someone who speaks English when trying to fix problem.",Lasted less years warranty Amazon nothing never another Amazon product barely used locked would turn back yeah forget talking someone speaks English trying problem,"['last', 'less', 'year', 'warranty', 'amazon', 'nothing', 'never', 'another', 'amazon', 'product', 'barely', 'use', 'lock', 'would', 'turn', 'back', 'yeah', 'forget', 'talk', 'someone', 'speak', 'english', 'try', 'problem']"
247,0,Very disappointed in the charging process.  It holds a full charge for 5 hours but runs down the battery whether in use or not.  Will be plugged in all day/night and still not be charged.  Will just show the low battery symbol.  Very frustrated with this.,Very disappointed charging process holds full charge hours runs battery whether Will plugged night still charged Will show battery symbol Very frustrated,"['very', 'disappointed', 'charge', 'process', 'hold', 'full', 'charge', 'hour', 'run', 'battery', 'whether', 'will', 'plug', 'night', 'still', 'charge', 'will', 'show', 'battery', 'symbol', 'very', 'frustrated']"
249,0,Love this but it's a little small,Love little small,"['love', 'little', 'small']"
250,0,I got this during the Amazon one day sale. For the $79 price it is a pretty good purchase. After having it for a month it died. I couldnt even factory reset and had to get a replacement. Amazon handled the replacement great and the new unit came in 2 days. As an e-reader this works great. However to be more of a tablet it left me desiring more. I like that there is an extensive library of ebooks. I like that I can search web if I want but I think I will go for a more robust tablet.,Amazon sale price pretty good purchase After month died couldnt even factory reset replacement Amazon handled replacement great unit came days reader works great However tablet left desiring like extensive library ebooks like search want think robust tablet,"['amazon', 'sale', 'price', 'pretty', 'good', 'purchase', 'after', 'month', 'die', 'could', 'not', 'even', 'factory', 'reset', 'replacement', 'amazon', 'handle', 'replacement', 'great', 'unit', 'come', 'day', 'reader', 'work', 'great', 'however', 'tablet', 'leave', 'desire', 'like', 'extensive', 'library', 'ebook', 'like', 'search', 'want', 'think', 'robust', 'tablet']"
258,0,I did not like Fire HD 7 at all. My old Kindle is much better that is why I sent it back.,like Fire Kindle much better sent back,"['like', 'fire', 'kindle', 'much', 'well', 'send', 'back']"
262,0,"I'm a bit disappointed.  The price was great, but I've had issues with the touch (it doesn't recognize touch sometimes), games freeze after playing them for a while, and I was surprised to see that some games aren't compatible with the device.",disappointed price great issues touch recognize touch sometimes games freeze playing surprised games compatible device,"['disappoint', 'price', 'great', 'issue', 'touch', 'recognize', 'touch', 'sometimes', 'game', 'freeze', 'play', 'surprised', 'game', 'compatible', 'device']"
263,0,"I was very disappointed in this device. The device has one advertisement after another.  This was apparent even when checking my email. The ads were so intrusive and they most likely contributed to the slow loading of pages. I used this device once, and knew this was a fail.",disappointed device device advertisement another This apparent even checking email intrusive likely contributed slow loading pages used device knew fail,"['disappoint', 'device', 'device', 'advertisement', 'another', 'this', 'apparent', 'even', 'check', 'email', 'intrusive', 'likely', 'contribute', 'slow', 'loading', 'page', 'use', 'device', 'know', 'fail']"
271,0,You lose so much when moving from Android Tablet. Never again.,lose much moving Android Tablet Never,"['lose', 'much', 'move', 'android', 'tablet', 'never']"
272,0,I love the weight of this Kindle. But it keeps stalling and I end up with a black screen. The only thing I can do is restart. The charger does not stay in the hole on the Kindle.  They tried to make it do too much,love weight Kindle keeps stalling black screen thing restart charger stay hole Kindle They tried make much,"['love', 'weight', 'kindle', 'keep', 'stall', 'black', 'screen', 'thing', 'restart', 'charger', 'stay', 'hole', 'kindle', 'they', 'try', 'make', 'much']"
274,0,This is very slow. Likes to freeze up. Would not buy one. Won this in a raffle. I will be sticking with the I pad.,This slow Likes freeze Would raffle sticking,"['this', 'slow', 'likes', 'freeze', 'would', 'raffle', 'stick']"
278,0,"Worst Kindle I've ever owned! I've had this kindle replaced 3 times now. Fortunately, it was still under warranty. One of the replacements I was sent worked fine for a couple of days and then it just wouldn't turn on at all! Customer service was very helpful and they quickly sent me a replacement....3 times. This final replacement they sent me still has issues with going blank.  I'll just stick to my older kindle.",Worst Kindle ever owned kindle replaced times Fortunately still warranty replacements sent worked fine couple days turn Customer service helpful quickly sent replacement times This final replacement sent still issues going blank stick older kindle,"['bad', 'kindle', 'ever', 'own', 'kindle', 'replace', 'time', 'fortunately', 'still', 'warranty', 'replacement', 'send', 'work', 'fine', 'couple', 'day', 'turn', 'customer', 'service', 'helpful', 'quickly', 'send', 'replacement', 'time', 'this', 'final', 'replacement', 'send', 'still', 'issue', 'go', 'blank', 'stick', 'old', 'kindle']"
279,0,"The kindle itself works well and has many apps that you can use, but Amazon prime gives you horrible movies and music that you haven't even heard of before. The wifi barely ever works, in my experience, even when it says that you're connected.",kindle works well many apps Amazon prime gives horrible movies music even heard wifi barely ever works experience even says connected,"['kindle', 'work', 'well', 'many', 'app', 'amazon', 'prime', 'give', 'horrible', 'movie', 'music', 'even', 'hear', 'wifi', 'barely', 'ever', 'work', 'experience', 'even', 'say', 'connected']"
281,0,"I have had 3 kindles, bought this new one a week ago. Nothing worked right. Goes to a blank screen, skips pages, have to power off to try to bring screen back up. They are sending me a new one , hope its better. If not ,I will buy I Pad Mini.",kindles bought week Nothing worked right Goes blank screen skips pages power bring screen back They sending hope better Mini,"['kindle', 'buy', 'week', 'nothing', 'work', 'right', 'go', 'blank', 'screen', 'skip', 'page', 'power', 'bring', 'screen', 'back', 'they', 'send', 'hope', 'well', 'mini']"
283,0,"Difficult to hold, no way to stand up",Difficult hold stand,"['difficult', 'hold', 'stand']"
291,0,"Nice for surfing the web, just wish it had more memory.",Nice surfing wish memory,"['nice', 'surfing', 'wish', 'memory']"
293,0,"I had expected this to have 4G, but I can only use it when I'm within Wi-Fi range.",expected within range,"['expect', 'within', 'range']"
295,0,"I like having a Kindle to read and get online, but I was really disappointed to find that regular Android apps don't work on it (you have to do complicated workarounds, which is really frustrating) and mine is pretty slow to turn on. Overall, I wish I would have gotten an iPad.",like Kindle read online really disappointed find regular Android apps work complicated workarounds really frustrating mine pretty slow turn Overall wish would gotten iPad,"['like', 'kindle', 'read', 'online', 'really', 'disappointed', 'find', 'regular', 'android', 'app', 'work', 'complicated', 'workaround', 'really', 'frustrating', 'mine', 'pretty', 'slow', 'turn', 'overall', 'wish', 'would', 'get', 'ipad']"
304,0,I've had the tablet for a few months now and have just started to really get used to it. Sometimes I find it laggy and a little slow. I also am disappointed that the App Store doesn't have as much as the Google Play store. Really wish I could use my Google Play account and apps on the Fire. But overall the tablet is good. Just a few things that will need some getting used to.,tablet months started really used Sometimes find laggy little slow also disappointed Store much Google Play store Really wish could Google Play account apps Fire overall tablet good Just things need getting used,"['tablet', 'month', 'start', 'really', 'use', 'sometimes', 'find', 'laggy', 'little', 'slow', 'also', 'disappoint', 'store', 'much', 'google', 'play', 'store', 'really', 'wish', 'could', 'google', 'play', 'account', 'app', 'fire', 'overall', 'tablet', 'good', 'just', 'thing', 'need', 'getting', 'use']"
307,0,"It works fine, but I find the &#34;offers&#34; as disconcerting. This replaces my original Kindle Fire. I find I liked the old one better.",works fine find offers disconcerting This replaces original Kindle Fire find liked better,"['work', 'fine', 'find', 'offer', 'disconcert', 'this', 'replace', 'original', 'kindle', 'fire', 'find', 'like', 'well']"
309,0,It's a great tablet for the price. Both my kids love it. The only set back is the battery drains very quickly!!,great tablet price Both kids love back battery drains quickly,"['great', 'tablet', 'price', 'both', 'kid', 'love', 'back', 'battery', 'drain', 'quickly']"
322,0,"Battery discharges quickly..operating system has problems on a weekly basis.  After one year, just throw away!  Just buy something better.",Battery discharges quickly operating system problems weekly basis After year throw away Just something better,"['battery', 'discharge', 'quickly', 'operate', 'system', 'problem', 'weekly', 'basis', 'after', 'year', 'throw', 'away', 'just', 'something', 'well']"
325,0,"I was not pleased. I have 3rd generation Kindle Fire and love it but needed more GB so ordered this newer one. The app I NEEDED to have , Moon Reader, which I have on the older version is impossible to download on this newer Fire. I expected more and am so disappointed, would like to return and exchange for a Google Nexus.",pleased generation Kindle Fire love needed ordered newer NEEDED Moon Reader older version impossible download newer Fire expected disappointed would like return exchange Google Nexus,"['please', 'generation', 'kindle', 'fire', 'love', 'need', 'order', 'new', 'needed', 'moon', 'reader', 'old', 'version', 'impossible', 'download', 'new', 'fire', 'expect', 'disappointed', 'would', 'like', 'return', 'exchange', 'google', 'nexus']"
332,0,The picture is no where near as good as I expected. It definitely should not be called HD. The battery is not good either. Even when I am just reading the battery drains really quickly. An hour of reading drains the battery by at least 40%. I bought the 16 GB version and it moves really slow and lags. I am extremely disappointed- I wish I would have just saved up another $100 and gotten a better tablet.,picture near good expected definitely called battery good either Even reading battery drains really quickly hour reading drains battery least bought version moves really slow lags extremely disappointed wish would saved another gotten better tablet,"['picture', 'near', 'good', 'expect', 'definitely', 'call', 'battery', 'good', 'either', 'even', 'read', 'battery', 'drain', 'really', 'quickly', 'hour', 'reading', 'drain', 'battery', 'least', 'buy', 'version', 'move', 'really', 'slow', 'lag', 'extremely', 'disappointed', 'wish', 'would', 'save', 'another', 'get', 'well', 'tablet']"
338,0,I have had this tablet since November 2014. I loved it at first but starting about three months ago I have had nothing but problems with the tablet freezing on me. They have replaced it now two more times but continue to have the same problem. Very very frustrating!!!!,tablet since November loved first starting three months nothing problems tablet freezing They replaced times continue problem Very frustrating,"['tablet', 'since', 'november', 'love', 'first', 'start', 'three', 'month', 'nothing', 'problem', 'tablet', 'freeze', 'they', 'replace', 'time', 'continue', 'problem', 'very', 'frustrating']"
339,0,"I have an older fire, bought this one for the camera, I shouldn't have.  Camera is not very good, the pictures are not very crisp.  Struggles in anything but perfect lighting.  Highlights are too white and low light gets grainy quick.  Often fail especially are just blurry washout.Tablet works fine, does everything my other fire does.  The case feels cheaper than my old kindle.",older fire bought camera Camera good pictures crisp Struggles anything perfect lighting Highlights white light gets grainy quick Often fail especially blurry washout Tablet works fine everything fire case feels cheaper kindle,"['old', 'fire', 'buy', 'camera', 'camera', 'good', 'picture', 'crisp', 'struggles', 'anything', 'perfect', 'lighting', 'highlights', 'white', 'light', 'get', 'grainy', 'quick', 'often', 'fail', 'especially', 'blurry', 'washout', 'tablet', 'work', 'fine', 'everything', 'fire', 'case', 'feel', 'cheap', 'kindle']"
343,0,"Loved my first one.  This one frequently freezes, blacks out, and sometimes will not work at all.  I have had it ready to take back to point of purchase and tried it again only to have it start up again.  Not impressed with this model.",Loved first This frequently freezes blacks sometimes work ready take back point purchase tried start impressed model,"['love', 'first', 'this', 'frequently', 'freeze', 'black', 'sometimes', 'work', 'ready', 'take', 'back', 'point', 'purchase', 'try', 'start', 'impressed', 'model']"
346,0,Ever since Amazon started using the new people to go thru for returns or breakage. I am sorry to say they no longer stand behind there products.,Ever since Amazon started using people thru returns breakage sorry longer stand behind products,"['ever', 'since', 'amazon', 'start', 'use', 'people', 'thru', 'return', 'breakage', 'sorry', 'long', 'stand', 'behind', 'product']"
350,0,I was very disappointed that I can not see the screen outside. I thought it was the same screen as a Kindle.,disappointed screen outside thought screen Kindle,"['disappoint', 'screen', 'outside', 'think', 'screen', 'kindle']"
357,0,"appstore is pretty small, compared to usaual market on android... :(",appstore pretty small compared usaual market android,"['appstore', 'pretty', 'small', 'compare', 'usaual', 'market', 'android']"
363,0,"Piece of s***.  Charger is flawed.  This should be recalled.  Let's a spade a shovel shall we gentleman.<br />What has happened to.Amazon's customer service????  Once beyond excellent, it is now garbage.  Wha Happan Amozon?",Piece Charger flawed This recalled spade shovel shall gentleman What happened Amazon customer service Once beyond excellent garbage Happan Amozon,"['piece', 'charger', 'flaw', 'this', 'recall', 'spade', 'shovel', 'shall', 'gentleman', 'what', 'happen', 'amazon', 'customer', 'service', 'once', 'beyond', 'excellent', 'garbage', 'happan', 'amozon']"
364,0,when I am reading a book it freezes on me. Then I Have to power down to unfreeze it.,reading book freezes Then Have power unfreeze,"['read', 'book', 'freeze', 'then', 'have', 'power', 'unfreeze']"
